Date,IWD,IWF,IWO,IWN,EFA,IEMG,TIP,GOVT,GLD,VNQ
2013-09-20,79.564514,74.549545,120.84966999999999,84.275192,56.697598,45.123714,105.90731000000001,23.111378,127.959999,56.131474
2013-09-23,79.21214300000001,74.229828,120.734169,84.302673,56.679961999999996,45.231991,106.27609299999999,23.139742000000002,127.550003,55.747128000000004
2013-09-24,79.012512,74.15798199999999,121.11988799999999,84.466698,56.59174,44.92522,106.29503600000001,23.158648,127.660004,55.322842
2013-09-25,78.985275,73.827759,120.76311499999998,84.374763,56.653496,44.636475,106.38960300000001,23.168108,128.78999299999998,55.505867
2013-09-26,79.039749,74.34668,121.688797,84.623032,56.891681999999996,44.762802,106.238289,23.187023,127.790001,55.846947
2013-09-27,78.740158,74.12024699999999,121.235603,84.23683199999999,56.688781999999996,44.275562,106.266655,23.205932999999998,128.970001,55.614017000000004
2013-09-30,78.258987,73.780579,121.34166,84.264404,56.282978,43.896603000000006,106.46525600000001,23.215391,128.179993,55.023354000000005
2013-10-01,78.83094,74.459908,122.961624,85.11036700000001,56.582916000000004,44.708664,106.32994099999999,23.166179999999997,124.589996,55.821994999999994
2013-10-02,78.83094,74.337257,122.57593500000002,84.650604,56.565281000000006,44.83498,106.50025900000001,23.222967,127.059998,55.905193000000004
2013-10-03,78.150024,73.629616,121.34166,83.777069,56.194763,44.681599,106.575943,23.213499,127.18,54.931839000000004
2013-10-04,78.65844,74.2146,122.18055700000001,84.23683199999999,56.327084,45.177856,106.34888500000001,23.156715,126.529999,54.823696
2013-10-07,78.050163,73.469238,120.464211,83.482826,55.744845999999995,44.789867,106.46241,23.194569,127.639999,55.073265
2013-10-08,77.24215699999999,72.374786,117.89929199999999,82.563316,55.312580000000004,44.437973,106.17858100000001,23.166179999999997,127.400002,54.474284999999995
2013-10-09,77.387405,72.242714,117.00253300000001,82.517326,55.55076999999999,44.844009,106.188042,23.175646,126.110001,54.482597
2013-10-10,79.039749,73.827759,120.078499,84.319565,56.547633999999995,45.773369,106.102898,23.1378,124.269997,55.871914000000004
2013-10-11,79.593536,74.36554,121.823799,85.708054,56.847576000000004,46.016991,106.083969,23.147257,122.599998,56.429302
2013-10-14,79.88407099999999,74.658043,122.585571,85.965515,57.041653000000004,46.188419,105.620399,23.062079999999998,122.83000200000001,56.462589
2013-10-15,79.25765200000001,74.139122,121.32240300000001,85.229904,56.768173,45.782398,105.828506,23.1378,123.730003,56.254589
2013-10-16,80.383415,75.19583100000001,122.961624,86.066681,57.191616,46.152336,106.046135,23.175646,123.540001,57.311142000000004
2013-10-17,81.027992,75.639252,123.85836,86.97698199999999,57.950291,46.395953999999996,106.46241,23.260813,127.41999799999999,58.176331000000005
2013-10-18,81.436539,76.261963,125.43974299999999,87.887314,58.29434200000001,46.486183000000004,106.61378500000001,23.270273,126.849998,58.118111
2013-10-21,81.40023000000001,76.243088,125.140831,87.767761,58.382560999999995,46.441071,106.52863300000001,23.232426,126.980003,57.76870699999999
2013-10-22,81.88140899999999,76.695953,125.29512,88.080414,58.964797999999995,46.829056,107.067902,23.327059,129.33999599999999,58.301136
2013-10-23,81.427475,76.42235600000001,124.74549099999999,87.795372,58.391388,45.809464,107.020599,23.327059,128.690002,58.409282999999995
2013-10-24,81.599968,76.75255600000001,125.72903400000001,88.19994399999999,58.797183999999994,45.800442,107.058456,23.336519,129.899994,58.392651
