,IWD,IWF,IWO,IWN,EFA,IEMG,TIP,GOVT,GLD,VNQ,EUR/USD,GBP/USD,AUD/USD,USD/JPY,USD/CNY,GDP,Unemployment,CPI adj,IP,Federal Debt,PCEC,Interest Rate,Credit Rate,10-Yr. Treas. Rate,Payroll Employment
2014-04-17,0.003227498452879285,0.0008171406707400131,0.0047768049715175565,0.006501423625979275,0.005209938838255601,0.007615224597116832,-0.001236618404325207,0.0020281870455367557,-0.006292822954494071,-0.005817839905365441,1.381216,1.678669,0.933097,102.443001,6.2091,4.707692307692308,6.3,236.68053846153848,104.94180769230769,101.6820405128205,11818.723307692308,0.09,0.75,2.73,138439.6923076923
2014-04-21,0.002386848534111863,0.004781858241441395,0.0065945894629193536,0.0023212680234769856,0.001332645625750084,-0.0033810852804710967,0.0,-0.005262910633499929,-0.00408819238476954,0.005712635776825126,1.379501,1.679289,0.933794,102.66999799999999,6.2091,4.730769230769231,6.3,236.72715384615387,104.97633076923077,101.65687705128205,11824.46173076923,0.09,0.75,2.73,138468.76923076922
2014-04-22,0.0038305281839290384,0.006732540667381048,0.013788405549344906,0.007854181453146758,0.004140664389978843,-0.002594268715859216,0.0,0.0,-0.003702503279177427,0.002216492624221633,1.381006,1.68268,0.937032,102.621002,6.2276,4.7384615384615385,6.3,236.74269230769232,104.98783846153846,101.64848923076923,11826.374538461538,0.09,0.75,2.73,138478.46153846153
2014-04-23,-0.0006188720339451725,-0.004266262096095708,-0.009768493488373498,-0.003596621542619194,-0.002356306397986452,-0.006602570085231352,0.003095224526724394,0.002441877238526402,-0.00016155275619289533,-0.00400848062234993,1.3819219999999999,1.6785,0.92885,102.480003,6.2277,4.746153846153846,6.3,236.75823076923078,104.99934615384615,101.6401014102564,11828.287346153846,0.09,0.75,2.7,138488.15384615384
2014-04-24,0.001548087588782776,0.0016211263246548313,-0.003566346647345009,-0.002105830789692731,-0.0001474541888304426,0.001409779454720539,0.0006170900888748942,0.00040609485387421707,0.006464091686100515,0.004163696871900324,1.383202,1.680955,0.927042,102.302002,6.2389,4.753846153846154,6.3,236.77376923076923,105.01085384615384,101.63171358974358,11830.200153846154,0.09,0.75,2.7,138497.84615384616
2014-04-25,-0.006182419637750236,-0.010751507146380623,-0.02200936354060068,-0.012861491691185778,-0.004872480107839361,-0.013073156001696007,0.0004404762601923906,0.00040584469252702426,0.006984601910478672,-0.003870101075953203,1.3836330000000001,1.6807569999999998,0.927214,102.2035025,6.2413,4.7615384615384615,6.3,236.78930769230772,105.02236153846154,101.62332576923077,11832.112961538462,0.09,0.75,2.68,138507.53846153847
2014-04-28,0.001866071887669296,0.0023373670632935717,-0.006151642042518279,-0.004784326296221608,0.0031157434592112843,0.005298504075102128,-0.002994228293215384,-0.0016225496364296044,-0.004384939807063781,0.00777043705743008,1.385291,1.681011,0.925378,102.515999,6.243,4.776923076923077,6.3,236.82038461538463,105.04537692307692,101.60655012820513,11835.938576923076,0.09,0.75,2.7,138526.92307692306
2014-04-29,0.004139814123279573,0.005712910814769545,0.00611147804591905,-0.0009206951963396381,0.006508055736279994,0.005270644660140489,-0.0006182892965413966,0.0012188472271226214,-0.0001601217206947947,0.0006880839404124206,1.381368,1.682425,0.927472,102.564003,6.2481,4.7846153846153845,6.3,236.83592307692308,105.0568846153846,101.5981623076923,11837.851384615384,0.09,0.75,2.71,138536.61538461538
2014-04-30,0.003607049684447139,0.003941492837774119,0.005295547596056993,0.006245158410114193,0.0039675849927831575,-0.0006049159331779075,0.003888983429563897,0.0020290954897448366,-0.005125740788677446,0.003577372071223106,1.386924,1.68765,0.928333,102.220001,6.2494,4.792307692307692,6.3,236.85146153846156,105.0683923076923,101.58977448717948,11839.764192307692,0.09,0.75,2.67,138546.3076923077
2014-05-01,-0.0002053785598320479,0.0008082682538228525,0.0019365496196732668,-0.0027470672896374726,0.002781118562000362,0.001210652760780695,0.0036023369093516333,0.0006081728624294236,-0.0033810819241579804,0.004250215111944122,1.387097,1.689532,0.927644,102.265999,6.2494,4.8,6.3,236.86700000000002,105.0799,101.58138666666666,11841.677,0.09,0.75,2.63,138556.0
